benchmarks/INST_36x36/40/inst36x36_40_0.txt find answer: 0.330000
     1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
 15  9 21 14 20  8 34  1 10 36 19 23  6 25  2 12 29 18  5 35 32 31 16 24  3 22 28 27 17 26 13  4 30  7 11 15 33
 16  7 22 35 33 30  4 21 15 34 26 31 12 17 24 32 11 28  1  9 10 19  8 20  6 25 23 14  3 29  5 18 16 36  2 27 13
 17 28 29  2 31 17  3 25  8  9 20 18  7 30 14 19 16  4  6  5 34 27  1 13 33 15 24 10 36 11 12 21 32 22 23 35 26
 18 10 26 24  1 27 23 22 16 35 32 29  3 20 21 36 34  8 13 17 11 15 30  2 14 19 33  7  4  6 18 25 28  9  5 31 12
 19  2 31  9 22 23 12 28 32 25 29 11 14 24  4 27 18 16 36  6  7 17 13 26 10 35  5  3  8 30 19  1 34 15 33 21 20
 20 15 16 32 34 20 24 12 27  5  1 13  4 21 33 14 30 10 25 29  9  8  3 36 22 11 18 31 28 23 17 19 35  2  6 26  7
 21  4  7 28 29 21 13  2 20 23 31 10 33 34 15  3  6 19  8 16  5 24 35 18 25  1 27  9 26 32 22 17 11 12 14 30 36
 22 14 33  6  8 10  5  7 26 19 17 22 30 28 32 13 35 11 29 34  1 23  4 27 12 24 15 36  2 20 21  9 18 31  3 16 25
 23  1 11 36  3 35 18  8 21 15  6 16 24 23  9 17 31 12 26 32 30 20  2 33 19  4 29 25 14  7 34 27 22  5 13 28 10
 24 19 30 25 27 26 17  9 36 18  3 35 34  2  5 22 20  1  7 31 28 11 15 14 21 10 16 13  6 12 33 32 23  4 24 29  8
 25 21 13 23 14 31 33 15  4 10 18  3  8  1 17  2  7 25 11 12 16 32  9 29 34 26 36 28 19 24 35 30 20  6 27 22  5
 26 30 36 12 28  2  9 13 31 20  5 33 26 29 22  8 21 15 14 10 35  6 18  3 11 27  7 32  1 34 16 24 19 23 25  4 17
 27 16  1  5 11 24 19 34 17 21 22  7 32 35 20  9 36 31 30  4  2 26 23 25 27 33 14  6 10  3  8 15 13 18 29 12 28
 28 32 34  7 15 22 26 16 29  6 35 25  9 10 27  5 28 23 24 30 19 14 20 21  8 13 12  4 18 17 11 33  3  1 31 36  2
 29 27  3  8  4 29 10 19  1 12 30 36 28  6 18 34 33 13 16 24 17 22  7 15 31 23 20  5 21 25  2 11 26 35 32  9 14
 30 25 17 20 35 18  6 14 24 11 27  2 23 26 19  4  3 32 12 28 13 33 36  5  1 31  9 30 29 22 15 16 21 10  7  8 34
 31 26 19 17 25 33  2 36 23 16 24 14 31 27 34 20 15 29  3  7 22 30 10 35 18  6  8 21 11  1  9  5 12 28  4 13 32
 32 22 24  1 18 28 16 29 19 32  8 15 17  4 35  7 26  2 31 11 21 13 34  9 23  5 25 12 33 10 14 36  6 30 20  3 27
 33 36 23 27 32  4  8  6 25 30 33 20 13  5 11 18  1 14 21 19  3 28 31 12  2 17 34 16 22 35 26 10  9 24 15  7 29
 34  5 12 13 30 14 15 35 34  1  7  4 22 36 10 25 17  6  9 27 33 29 24 16 32  3 19 23 31 28 20  2  8 21 26 11 18
 35 31 20 11 21  9 29  3  2 28 12 27 10 19  8 23 32 30 22 14 26  1  5  6 15 36 13 18 24  4  7 34 17 25 35 33 16
 36 34  6 10  7  3 35  5  9 26 11 21 18 12 16 33 13 24 28  8 20 36 25  4 17  2 30 29 32 15 27 14 31 19  1 23 22
